date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:42	107/107	---M--	200	added ('OK')	text/plain	date:Mon,%2007%20Sep%202015%2022:24:25%20GMT	http://jessandruss.us/robots.txt		(from )
13:50:42	31543/31543	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202015%2022:24:24%20GMT	http://jessandruss.us/	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/index.html	(from )
13:50:42	15407/15407	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Sep%202015%2022:24:19%20GMT	http://jessandruss.us/css/style-basics.css	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/css/style-basics.css	(from http://jessandruss.us/)
13:50:43	9120/9120	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Sep%202015%2022:24:19%20GMT	http://jessandruss.us/css/style-mobile.css	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/css/style-mobile.css	(from http://jessandruss.us/)
13:50:43	17939/17939	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Sep%202015%2022:24:19%20GMT	http://jessandruss.us/css/style-desktop.css	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/css/style-desktop.css	(from http://jessandruss.us/)
13:50:44	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%22dd67d12a30a964f61be50434fd88e60e:1342109601%22	http://cloud.typography.com/753622/654420/css/fonts.css	C:/My%20Web%20Sites/TestStory/TestStory/cloud.typography.com/753622/654420/css/fonts.3.delayed	(from http://jessandruss.us/)
13:50:48	705760/705760	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Sep%202015%2022:24:25%20GMT	http://www.jessandruss.us/fonts/3507/4BF7A55D1362953D5.css	C:/My%20Web%20Sites/TestStory/TestStory/www.jessandruss.us/fonts/3507/4BF7A55D1362953D5.css	(from http://jessandruss.us/)
13:50:49	16226/16226	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Sep%202015%2022:24:19%20GMT	http://jessandruss.us/js/libs/modernizr-2.0.6.min.js	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/js/libs/modernizr-2.0.6.min.js	(from http://jessandruss.us/)
13:50:50	304/304	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2018:50:49%20GMT	http://jessandruss.us/about	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/about	(from http://jessandruss.us/)
13:50:51	15919/15919	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202015%2022:24:18%20GMT	http://jessandruss.us/about/	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/about/index.html	(from http://jessandruss.us/)
13:50:52	5073/5073	---M--	200	added ('OK')	image/png	etag:cbaec4476911e728c0a256521badf864	http://c15117992.r92.cf2.rackcdn.com/34c-ornament.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/34c-ornament.png	(from http://jessandruss.us/)
13:50:54	15068/15068	---M--	200	added ('OK')	image/png	etag:6cdb09eb4f0981f746fe297473fcb18e	http://c15117992.r92.cf2.rackcdn.com/ornament1.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/ornament1.png	(from http://jessandruss.us/)
13:50:54	14743/14743	---M--	200	added ('OK')	image/png	etag:197b5b8e535565096dde6c173cc2a830	http://c15117992.r92.cf2.rackcdn.com/ornament2.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/ornament2.png	(from http://jessandruss.us/)
13:50:54	50318/50318	---M--	200	added ('OK')	image/png	etag:7691aae17da717a1294f3bc9c03e13fa	http://c15117992.r92.cf2.rackcdn.com/topswirl-left.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/topswirl-left.png	(from http://jessandruss.us/)
13:50:57	48729/48729	---M--	200	added ('OK')	image/png	etag:31b67d18c6e95b0b4a87d43a528a6046	http://c15117992.r92.cf2.rackcdn.com/topswirl-right.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/topswirl-right.png	(from http://jessandruss.us/)
13:50:57	1552/1552	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Sep%202015%2022:24:20%20GMT	http://jessandruss.us/js/mylibs/jquery.localscroll-1.2.7-min.js	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/js/mylibs/jquery.localscroll-1.2.7-min.js	(from http://jessandruss.us/)
13:50:58	2252/2252	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Sep%202015%2022:24:20%20GMT	http://jessandruss.us/js/mylibs/jquery.scrollTo-1.4.2-min.js	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/js/mylibs/jquery.scrollTo-1.4.2-min.js	(from http://jessandruss.us/)
13:50:59	2049/2049	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Sep%202015%2022:24:20%20GMT	http://jessandruss.us/js/mylibs/jquery.inview.js	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/js/mylibs/jquery.inview.js	(from http://jessandruss.us/)
13:50:59	939/939	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Sep%202015%2022:24:21%20GMT	http://jessandruss.us/js/plugins.js	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/js/plugins.js	(from http://jessandruss.us/)
13:50:59	26306/26306	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Sep%202015%2022:24:20%20GMT	http://jessandruss.us/js/mylibs/nbw-parallax.js	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/js/mylibs/nbw-parallax.js	(from http://jessandruss.us/)
13:51:00	4547/4547	---M--	200	added ('OK')	image/jpeg	etag:0fbbdea000804b0f39225119be9b0b59	http://c15117992.r92.cf2.rackcdn.com/stars.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/stars.jpg	(from http://jessandruss.us/css/style-basics.css)
13:51:00	20030/20030	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2009%20Nov%202022%2018:50:59%20GMT	http://use.typekit.com/bzi1yvo.js	C:/My%20Web%20Sites/TestStory/TestStory/use.typekit.com/bzi1yvo.js	(from http://jessandruss.us/)
